Time,Inferred,Real,MAC
03:15:00 PM,7,15,46
03:17:00 PM,10,15,28
03:20:00 PM,12,16,51
03:22:00 PM,9,15,63
03:24:00 PM,9,15,47
03:36:00 PM,13,14,42
03:28:00 PM,13,13,38
03:30:00 PM,13,14,32
03:32:00 PM,13,14,17
03:34:00 PM,7,12,27
03:36:00 PM,7,11,18
03:38:00 PM,8,15,33
03:40:00 PM,9,15,45
03:42:00 PM,9,16,27
03:44:00 PM,10,17,18
03:46:00 PM,10,17,56
03:48:00 PM,12,17,33
03:50:00 PM,14,16,25
03:52:00 PM,13,16,62
03:54:00 PM,12,14,63
03:56:00 PM,13,14,39
03:58:00 PM,10,13,33
04:00:00 PM,10,14,34
04:02:00 PM,11,13,25
04:04:00 PM,14,14,36
04:06:00 PM,10,14,49
04:08:00 PM,12,14,22
04:10:00 PM,10,14,39
04:12:00 PM,9,14,22
04:14:00 PM,10,13,17
04:16:00 PM,11,14,66
04:18:00 PM,10,11,66
04:20:00 PM,11,11,34
04:22:00 PM,9,10,34
04:24:00 PM,8,11,20
04:26:00 PM,12,10,41
04:28:00 PM,11,10,30
04:30:00 PM,10,11,24
